2200018,"물보라의
특기 특훈 패키지",9600031,-1,3700012,10,-1,3700012,10,-1,3000001,1000000,-1,1020003,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2200019,"나가의
근무 패키지",9600032,-1,3700012,5,-1,3000012,100,-1,3000012,100,-1,3000012,100,-1,3000012,100,-1,3000012,100,-1,3000012,100,-1,3000012,100,-1,-1,-1,-1,-1,-1
2200020,"나가의
야근 패키지",9600033,-1,3700012,10,-1,3000012,200,-1,3000012,200,-1,3000012,200,-1,3000012,200,-1,3000012,200,-1,3000012,200,-1,3000012,200,-1,-1,-1,-1,-1,-1
2200021,"나가의
철야 패키지",9600034,-1,3700012,10,-1,3700012,10,-1,3700012,10,-1,3000012,400,-1,3000012,400,-1,3000012,400,-1,3000012,400,-1,3000012,400,-1,3000012,400,-1,3000012,400
2200025,"엘리트 마고
영웅 패키지",9600035,-1,1000734,1,-1,1020003,10,-1,1020003,10,-1,1020003,10,-1,1020003,10,-1,1020003,10,-1,1020003,10,-1,1020003,10,-1,1020003,10,-1,-1,-1
2200026,"훈련강사 듄
영웅 패키지",9600036,-1,1000744,1,-1,1020003,10,-1,1020003,10,-1,1020003,10,-1,1020003,10,-1,1020003,10,-1,1020003,10,-1,1020003,10,-1,1020003,10,-1,-1,-1
2200027,"교복 오르카
영웅 패키지",9600037,-1,1000784,1,-1,1020003,10,-1,1020003,10,-1,1020003,10,-1,1020003,10,-1,1020003,10,-1,1020003,10,-1,1020003,10,-1,1020003,10,-1,-1,-1
2200028,"교복 메두사 
영웅 패키지",9600038,-1,1000793,1,-1,1020003,20,-1,1020003,20,-1,1020003,20,-1,1020003,20,-1,1020003,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2200029,"교복 랩터
영웅 패키지",9600039,-1,1000803,1,-1,1020003,20,-1,1020003,20,-1,1020003,20,-1,1020003,20,-1,1020003,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2200030,"교복 스텔
영웅 패키지",9600040,-1,1000813,1,-1,1020003,20,-1,1020003,20,-1,1020003,20,-1,1020003,20,-1,1020003,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2200031,"교복 물보라
영웅 패키지",9600041,-1,1000823,1,-1,1020003,20,-1,1020003,20,-1,1020003,20,-1,1020003,20,-1,1020003,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2300001,첫 결제 보상,9700001,-1,1000484,1,-1,3000001,150000,-1,1020003,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
